Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Comedy, Science Fiction, Horror",en,2006-04-22,4.8,alien;form;down,Mammoth
"Horror, Thriller",en,2014-10-23,4.9,a;that;next,V/H/S: Viral
"Comedy, Drama",fr,2009-02-02,5.8,inhibitions.;and;age,Thawing Out
"Horror, Thriller",en,2009-10-09,5.4,experiment;trapped;become,Blood Creek
Drama,ja,1981-12-25,5.3,S&M;her.;her,Angel Guts: Red Porno
"Drama, Romance",en,1982-07-28,7.0,so;training;of,An Officer and a Gentleman
"Comedy, Drama, Mystery, Romance",en,2005-08-05,6.9,him.;receives;As,Broken Flowers
"Crime, Thriller",en,1943-01-15,7.6,man;bored;whom,Shadow of a Doubt
"Horror, Thriller",en,1995-03-17,5.4,"Candyman,;time,;to",Candyman: Farewell to the Flesh
"Drama, Western, Romance",en,1954-05-26,7.5,patron;the;the,Johnny Guitar
"History, Drama",en,2012-11-09,6.9,course;the;moral,Lincoln
"Comedy, Drama, Romance",en,2016-10-07,5.4,He;of;resting,The Late Bloomer
Thriller,en,2018-10-10,6.1,"Rocky;her;Galveston,",Galveston
"Drama, Comedy",en,2014-08-06,7.3,French;restaurant;opens,The Hundred-Foot Journey
"Horror, Drama, Fantasy",es,2013-06-21,6.7,could;of;old,The House at the End of Time
Drama,en,2010-01-22,6.8,boy;make;is,Hesher
"Drama, Mystery, Thriller",en,2009-12-04,6.6,the;boarding;an,Cracks
"Action, Thriller",en,1990-10-30,5.3,band;two;American,American Ninja 4: The Annihilation
"Fantasy, Science Fiction",ru,2006-01-01,6.1,"nearly;was;Moscow,",Day Watch
"Crime, Drama",en,1962-12-20,8.0,"live;neighbor,;brother",To Kill a Mockingbird
"Drama, Romance",en,2020-05-08,6.2,"opportunities.;his;surroundings,",The Nest
"Drama, History, War",en,1965-12-16,6.9,the;orders;prevent,Battle of the Bulge
Drama,en,1984-08-23,8.1,is.;finds;His,"Paris, Texas"
"Documentary, Comedy",en,2018-01-19,8.0,what;wild;to,Robin Williams: Come Inside My Mind
"Crime, Drama, Mystery, Thriller",en,1997-05-02,6.8,When;and;a,Breakdown
"Animation, Adventure, Comedy, Family",en,2022-08-24,0.0,taken;passion;an,Puss in Boots: The Last Wish
Documentary,es,2008-02-01,6.6,of;Angel;through,Pablo Escobar: Angel or Demon?
"Horror, Action, Science Fiction",en,1999-01-14,5.3,the;regards;as,Virus
"Comedy, Romance",en,2008-11-06,5.9,sexual;Four;contest,Another Gay Sequel: Gays Gone Wild!
"Horror, Thriller",en,2016-09-24,5.8,works.;holds;he,Pet
"Adventure, Comedy",en,1986-05-08,6.2,"with;and;is,",Pirates
"Action, Adventure, Comedy, Horror, Science Fiction, Thriller",en,2019-08-17,4.3,A;island;community.,Zombie Tidal Wave
Comedy,en,2006-08-25,5.9,"Old;showdown;Beerfest,",Beerfest
"Drama, Comedy",fr,1973-05-16,7.1,with;a;at,La Grande Bouffe
"Comedy, Drama",en,2013-05-17,7.4,York;a;up,Frances Ha
"Drama, Romance, Science Fiction",en,2010-03-18,6.8,their;into;secluded,Never Let Me Go
"Action, Animation, Drama, Science Fiction",ja,1998-03-07,7.3,"a;of;""Evangelion:",Revival of Evangelion
Comedy,en,1974-12-15,7.9,In;the;young,Young Frankenstein
"Comedy, Drama",en,2018-04-16,6.6,as;but;is,Alex Strangelove
"Action, Comedy, Crime",fr,2009-10-28,6.6,quest;head.;for,Micmacs
"Horror, Comedy",en,2007-03-29,5.7,into;turns;sheep,Black Sheep
Horror,en,1989-10-27,5.5,to;sent;being,Shocker
"Drama, Mystery, Romance",en,2016-12-09,5.6,A;he;when,Frank & Lola
Comedy,en,2020-03-13,7.5,"the;Mo;Mo,",Big Time Adolescence
"Adventure, Family",de,2013-03-21,7.4,a;a;fierce,Windstorm
"Action, Adventure, Thriller",en,2000-08-04,6.4,Frank;the;of,Space Cowboys
"Animation, Family, Action, Comedy",en,2018-12-21,6.8,"League,;the;from",LEGO DC Super Heroes - Aquaman: Rage Of Atlantis
"Drama, Comedy, Family",ko,2013-01-23,8.2,ill;with;accused,Miracle in Cell No. 7
"Crime, Drama, Mystery",en,1995-03-24,7.2,of;crime.;accused,Dolores Claiborne
Drama,en,2013-08-16,7.4,made.;racial;and,The Butler
"Drama, Mystery, Thriller",en,2003-10-22,5.1,an;she;test,In the Cut
"TV Movie, Adventure, Action, Science Fiction, Horror",en,2016-07-26,5.0,new;makeshift;an,Ice Sharks
"Comedy, Romance",en,1991-12-20,6.4,think;what;make,Father of the Bride
"Adventure, Comedy, Drama, Romance",en,2005-12-25,6.5,"a;status,;of",Casanova
"Drama, Thriller",en,2011-05-06,6.1,atheist;fundamentalist;battle,The Ledge
"Horror, Thriller",en,2008-09-06,5.3,to;embarking;to,Deadgirl
"Comedy, Romance",he,1981-04-07,6.0,"tutor,;Yudale;turns",Hot Bubblegum
"Comedy, Fantasy",cs,1966-12-30,7.5,them.;they;named,Daisies
"Adventure, Comedy, Science Fiction",en,1991-07-19,6.3,succeed;again;series,Bill & Ted's Bogus Journey
"Action, Crime",cn,2019-04-04,6.5,"prison.;officers;investigation,",P Storm
"Action, Horror, TV Movie",en,2008-01-01,5.8,vampire;vaccine;th,Blade: House of Chthon
"Documentary, Adventure",en,2018-09-28,7.9,Honnold;ever;first,Free Solo
"Western, Action, Thriller, Drama",en,2015-05-15,6.7,mysterious;gunman;whom,Slow West
"Drama, Crime",en,2000-06-30,7.9,to;to;-,Dancer in the Dark
"Action, Drama",ko,2004-08-12,7.2,"Kyokushin.;changed;young,",Fighter in the Wind
Drama,en,2018-04-06,6.5,the;prep;under-the-table,Amateur
Drama,ko,2012-06-06,5.9,barely;exposed.;royal,The Concubine
"Drama, Thriller, Crime, Romance",fr,2005-04-01,6.2,are;those;is,Anthony Zimmer
"Drama, Romance",fr,1967-05-24,7.4,"life.;life;possessive,",Belle de Jour
"Drama, Thriller",en,2016-12-16,5.3,"York,;Stackhouse;overambitious",A Kind of Murder
"Music, Drama",en,2004-01-30,6.3,compete;Harvey.;Angeles,You Got Served
"Animation, Adventure, Family",es,2017-09-01,7.7,"terrible;There,;she",Ana & Bruno
"Drama, Family, Fantasy, Romance",en,2002-10-11,6.6,"of;parents,;Winnie",Tuck Everlasting
Drama,en,2018-06-20,7.4,months;when;dream,The Work Wife
"Comedy, Drama",en,2016-10-27,6.4,that;to;fact.,3 Generations
"Action, Comedy, Science Fiction, Romance, Drama",ja,2008-05-31,7.3,superhuman;she;student.,Cyborg She
"Comedy, Drama, Romance",en,2002-04-11,6.3,a;is;her,Bend It Like Beckham
"Thriller, Drama, Horror",en,2014-03-20,5.7,hike;within;A,Backcountry
"Comedy, Romance",es,2013-10-05,7.1,and;a;own,Pulling Strings
"Drama, Comedy",fr,2017-11-22,7.1,lawyer.;she;courtroom,Le Brio
"Comedy, Drama, Romance",en,2007-11-29,5.1,must;troubled;young,Sex and Breakfast
"Drama, Romance",nl,1973-02-22,7.0,"girl,;a;erotic,",Turkish Delight
"Action, Adventure, Drama, Romance",sv,2007-12-25,6.2,a;the;a,Arn: The Knight Templar
