Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Horror, Thriller",en,2019-05-29,5.8,"One;chance;Maggie,",Ma
Drama,en,1978-04-05,7.0,one;as;Violet,Pretty Baby
"Horror, Comedy",en,2008-09-09,4.2,zombies.;they;of,Zombies! Zombies! Zombies!
"Action, Comedy",en,2018-08-02,6.4,thirty-year-old;their;conspiracy,The Spy Who Dumped Me
"Comedy, Drama, Romance",en,2005-02-11,6.5,"–;progress,;the",Hitch
"Mystery, Thriller, Drama, Horror",en,2017-04-20,6.0,A;obsessive;one,Berlin Syndrome
Documentary,en,2015-07-10,8.0,"amount;about;Tears"")",Behind the Mask: The Batman Dead End Story
"Comedy, Romance, Drama",en,2007-09-26,5.4,relationships;Looks;heartache,After Sex
"Horror, Mystery, Thriller",en,2010-10-18,5.6,"guard,;to;young",Mirrors 2
"Action, Thriller",en,2019-10-25,6.7,as;the;teams,Black and Blue
"Science Fiction, Thriller",en,2018-03-30,5.4,a;soldier;genetic,The Titan
"Action, Adventure, Family, Fantasy, TV Movie",en,1978-12-21,5.2,tutors;Spider-Man;Peter,Spider-Man Strikes Back
"Science Fiction, Fantasy",en,2011-10-25,7.1,his;at;Agent,A Funny Thing Happened on the Way to Thor's Hammer
"Romance, Comedy",ja,2018-12-21,7.6,Shuei-gumi.;father;One,Nisekoi: False Love
"Action, Crime, Drama",cn,2018-12-20,6.2,Following;him;to,Master Z: Ip Man Legacy
"Drama, Romance",en,2008-02-28,6.6,"Boleyn,;by;driven",The Other Boleyn Girl
"Fantasy, Animation, Action, Comedy, Family",en,2011-11-15,6.6,never-before-seen;secrets;want,Book of Dragons
"Comedy, Romance",en,2014-06-20,6.5,All;event.;misadventures,Think Like a Man Too
Drama,en,2012-09-21,6.8,and;under-resourced;realize,Unconditional
"Science Fiction, Comedy, Drama",en,1999-12-17,7.2,"to;""Bicentennial;The",Bicentennial Man
"Adventure, Drama",en,2007-09-11,7.8,University;in;Emory,Into the Wild
"Thriller, Drama, Crime",en,2014-04-08,5.8,alcoholism;sisters;kill,Perfect Sisters
"Thriller, Horror, Drama",en,2014-12-30,5.2,"house's;arrive,;House,",The Woman in Black 2: Angel of Death
"Animation, Comedy, Family",en,2020-04-22,7.2,"in;parents,;by",The Willoughbys
"Comedy, Drama",en,1989-11-15,7.2,women;bond;friendship,Steel Magnolias
Comedy,en,2010-10-17,4.3,group;sexy;can't,Milf
"Mystery, Thriller",en,2014-09-03,6.5,to;truths;her,Before I Go to Sleep
"Drama, Comedy, Romance",en,2012-10-19,7.0,"over;weekend,;Aubrey,",The First Time
"Animation, Family, Comedy, Science Fiction, Adventure",en,2000-08-08,6.4,must;the;hopefuls,Buzz Lightyear of Star Command: The Adventure Begins
Drama,en,1999-03-24,7.6,she;becomes;normal,"Girl, Interrupted"
"Drama, Romance",es,2010-05-07,6.4,Rome;room;A,Room in Rome
"Drama, Comedy",en,2021-04-23,5.4,bond;Porter;on,The Space Between
"Action, Animation, History",ja,2007-09-29,7.6,past;the;young,Sword of the Stranger
"Crime, Action, Drama",en,2010-09-20,5.2,have;Ash;been,Pokémon Apokélypse
"Action, Adventure, Animation, Science Fiction",en,2001-11-17,7.7,dangerous;Justice;overcome,Justice League: Secret Origins
"Thriller, Mystery",en,2013-12-31,6.9,college;professor;into,Enemy
"Mystery, Thriller, Crime",en,2004-05-07,6.5,into;program;killer,Mindhunters
Comedy,en,2017-07-17,6.4,the;interest;Dani,#realityhigh
"Adventure, Drama, History, Thriller, War",en,1963-06-20,8.0,the;the;high-security,The Great Escape
"Thriller, Romance",en,2014-10-11,6.3,the;falls;his,Escobar: Paradise Lost
"Action, Animation, Adventure, Fantasy",ja,2001-12-15,7.6,"father,;years;through",Inuyasha the Movie: Affections Touching Across Time
"Animation, Adventure, Comedy, Fantasy, Action, Family",ja,2019-08-02,6.8,Finding;the;wields,Dragon Quest: Your Story
"Animation, Romance, Science Fiction, Comedy",ja,1983-02-11,6.4,also;marriage;many,Urusei Yatsura: Only You
"Mystery, Thriller, Horror",en,2000-10-27,4.2,the;events;three,Book of Shadows: Blair Witch 2
"Action, Drama",en,1987-02-13,6.3,"the;wits;willpower,",Over the Top
"Drama, History",en,2019-12-13,6.8,explosive;brought;it.,Bombshell
"Animation, Adventure",ko,2019-12-25,7.9,embarks;adventure;nothing,Dino King: Journey to Fire Mountain
"Thriller, Drama, Action",en,2013-02-21,6.0,Facing;arrested;of,Snitch
"Adventure, Action, Comedy, Romance",cn,1999-02-12,6.2,finds;and;But,Gorgeous
"Horror, Thriller",en,2021-12-10,6.7,There;American;the,American Refugee
"Romance, Comedy, TV Movie, Music",en,2010-02-14,7.0,for;following;a,Starstruck
"Comedy, Science Fiction, Action",en,2001-06-08,6.0,to;bad;the,Evolution
"Mystery, Romance, Thriller",en,1958-05-28,8.2,from;friend's;an,Vertigo
Documentary,en,2012-06-01,6.9,An;an;of,Titanic: 100 Years On
"Adventure, Comedy, Crime",ru,1968-02-02,7.9,one;in;cities,The Diamond Arm
"Drama, History, War",en,1998-03-05,7.4,and;the;an,The Thin Red Line
"Drama, History, Crime, Thriller",en,2016-09-15,7.1,press.;Snowden;leaks,Snowden
"Action, Thriller, Crime",en,2017-03-04,6.1,her;opens;and,Security
"Action, Science Fiction, Adventure",en,2017-02-07,4.6,A;out;spacecraft,Moontrap: Target Earth
Thriller,en,2019-05-03,6.1,bought;couple;man,The Intruder
"Horror, Thriller",en,1972-08-30,5.9,psychotic;girls;convicts.,The Last House on the Left
Horror,en,2016-12-02,6.0,when;predator;from,Siren
"Drama, War",en,2014-12-25,7.5,runner;Olympic;Japanese,Unbroken
"Family, Adventure, Fantasy",en,2007-12-25,6.4,legend.;that;Scottish,The Water Horse
"Comedy, Drama, Romance",es,2010-01-12,7.2,plan;ex-girlfriend;snag,Plan B
"Drama, History, Romance",en,1951-11-08,7.1,on;the;General,Quo Vadis
"Adventure, Comedy, Drama, Fantasy",en,1985-03-27,7.0,break;a;a,Ladyhawke
"Action, Crime, Thriller",en,2013-09-12,5.6,Ex-Federale;man;who,Machete Kills
Comedy,en,2018-05-10,6.2,headlong;true;the,Life of the Party
"Horror, Thriller, Fantasy, Mystery",en,1999-07-23,5.4,Hill;sleep;invites,The Haunting
Documentary,en,2022-02-16,6.4,their;of;bonds,ASSEMBLED: The Making of Eternals
"Animation, Action, Adventure, Family",en,2013-10-17,5.7,a;revered;company,Tarzan
"Drama, Western, Adventure",en,2020-12-25,7.0,"a;townspeople,;bringing",News of the World
"Animation, Comedy, Family",en,2005-09-23,6.7,spend;is;shopping.,The Madagascar Penguins in a Christmas Caper
"Comedy, Science Fiction",en,1987-06-24,6.8,When;fly;plan,Spaceballs
"Drama, Romance",en,2017-07-13,6.5,together.;paint;in,Tulip Fever
"Crime, Drama",en,2001-04-04,7.4,happen;goes;the,Blow
"Comedy, Horror, Science Fiction",en,2019-02-13,6.3,of;her;over,Happy Death Day 2U
"Drama, Romance",en,1942-11-26,8.2,"complications.;meets;lover,",Casablanca
"Drama, War",en,1978-03-09,8.0,were;the;to,The Deer Hunter
"Thriller, Mystery, Adventure",en,2009-06-08,6.3,through;give;of,A Perfect Getaway
"Drama, Action",ru,2016-04-21,6.9,a;it;best,Flight Crew
"Comedy, Family, Romance",en,2011-09-05,6.4,her;before;way,A Cinderella Story: Once Upon a Song
"Crime, Drama, Mystery",es,2009-08-13,8.0,one;which;past,The Secret in Their Eyes
"Action, Science Fiction",en,2012-09-07,6.8,who;elite;taking,Dredd
Drama,en,2007-12-26,8.1,"Plainview,;turned;suspects",There Will Be Blood
Drama,no,2016-08-26,6.9,with;covered;blonde,The Lion Woman
"Action, Adventure, Animation",en,2009-10-22,4.5,Drake's;'Uncharted:;release,Uncharted: Eye of Indra
"Action, Crime, Thriller",en,2001-06-07,6.2,$9;secret;Enforcement,Swordfish
"Drama, Science Fiction, Adventure",en,2001-06-29,7.0,truly;to;adopted,A.I. Artificial Intelligence
Drama,es,1990-12-03,6.4,"bars,;of;begins",The Ages of Lulu
Drama,en,2000-10-20,7.3,nature.;Like;succeeded.,Pay It Forward
"Horror, Thriller",en,2009-02-20,4.9,"house,;the;residents",Walled In
War,en,2019-10-01,6.5,lives;they;down,Jarhead: Law of Return
"Drama, Romance",en,2002-08-29,7.5,tempestuous;of;marriage,Frida
"Animation, Adventure, Comedy, Family",ru,2019-01-24,6.9,tiny;a;polar,Sheep & Wolves: Pig Deal
"Thriller, Mystery",en,1954-09-01,8.4,becomes;one;apartment,Rear Window
"Comedy, Animation",ja,2019-03-15,7.6,drink;former;see,Mr. Osomatsu the Movie
"Animation, Family, Adventure, Fantasy",en,2020-10-15,7.3,"of;heroes;dragon,",Dragon Rider
"Science Fiction, Drama, Romance, Comedy",en,1999-02-12,6.7,"years,;scare;Following",Blast from the Past
Drama,en,2017-12-08,7.5,ranks;the;skater,"I, Tonya"
Animation,ja,1998-03-07,6.7,No;This;the,Doraemon: Nobita's Great Adventure in the South Seas
"Action, Adventure, Comedy, Crime, Thriller",en,2010-10-13,6.7,last;effort;by,RED
"Drama, Music, Romance",ja,2016-09-10,7.0,Kaori;Arima;of,Your Lie in April
"Drama, Thriller",pl,2021-01-30,5.0,"last;gun,;Sebastian",Prime Time
"Romance, TV Movie",en,2021-04-29,6.0,"Alice,;food;NY's",Farm to Fork to Love
"Drama, Romance",en,1986-02-09,6.1,to;sex;they,Nine 1/2 Weeks
"Adventure, Family, Fantasy",en,2020-09-15,7.2,hunt;that;Two,Wish Upon a Unicorn
"Drama, Romance",en,2012-10-05,6.5,Kristen;or;so,Birthday Sex
"Comedy, Family, Romance",en,1995-11-17,6.4,summer;different;and,It Takes Two
"Comedy, Action",cn,1979-02-17,6.7,"his;him,;to",Fearless Hyena
"Science Fiction, Adventure",en,1998-04-03,5.3,inhabitable;themselves;into,Lost in Space
"Action, Horror",en,2017-12-29,4.6,survivalists;world;in,Day of the Dead: Bloodline
"Action, Crime",en,2005-02-02,6.9,uses;for;In,Unleashed
"Drama, History, Thriller, Action",en,2018-11-07,6.7,incompetence;K-141;the,Kursk
"Drama, History",en,1961-10-11,7.0,"the;not;Jesus,",King of Kings
"Romance, Adventure, Drama, Family, History",ru,2020-12-10,7.8,has;from;to,Silver Skates
"Action, Comedy, Adventure, Romance, Drama",en,1978-12-16,6.2,guy.;Like;a,Every Which Way but Loose
"Music, Comedy, Romance, Fantasy",en,2019-06-27,6.7,a;a;support,Yesterday
Science Fiction,en,2019-03-15,5.6,"an;authoritarian;years,",Captive State
"Action, Crime, Thriller",en,2011-03-01,5.7,techniques.;assignment;resistance,S.W.A.T.: Firefight
Comedy,en,2013-10-10,6.2,years;reveal;anonymous,Delivery Man
"Thriller, Crime, Action",en,2014-08-12,5.5,"hesitant,;and;quietly",Good People
"Animation, Family, Comedy",en,2010-12-13,6.8,Minions;if;care,Minions: Home Makeover
"Animation, Action, Adventure",en,2013-04-23,6.7,"Superman;knowledge;worlds.""",Superman: Unbound
"Animation, Family, Adventure, Drama, Fantasy",ja,2011-07-16,6.6,of;arrive;Earth,Pokémon the Movie: White - Victini and Zekrom
"Comedy, Drama, Music, Romance",en,2000-07-30,6.3,alike;at;York,Coyote Ugly
"Action, Comedy, Horror, Thriller",en,2002-07-17,5.7,residents;The;of,Eight Legged Freaks
"Family, Comedy",en,2003-05-02,6.3,Lizzie;dream;her,The Lizzie McGuire Movie
"Comedy, Family, Mystery, Crime, Adventure, Action",en,2006-02-10,5.8,coach;the;Jacques,The Pink Panther
"Adventure, Animation, Comedy, Family",fr,2017-02-01,5.9,best;love.;on,Sahara
"Action, Crime, Drama",es,2018-08-02,6.9,and;of;drug,Leal
"Drama, Thriller, Action",ja,2000-12-16,7.3,each;them;of,Battle Royale
Western,it,1965-05-10,8.0,in;bounty;wanted,For a Few Dollars More
"Comedy, Romance",en,2021-06-04,7.1,Jennifer;getaway.;But,Trippin’ with the Kandasamys
"Animation, Drama, Mystery, Science Fiction, Thriller, Fantasy",ja,2006-10-01,7.8,hell;that;stop,Paprika
"Drama, Horror, Thriller, Mystery",de,2014-10-07,6.7,to;says;after,Goodnight Mommy
"Action, Drama, Romance, Thriller",zh,2007-09-27,7.1,love;she;in,"Lust, Caution"
Drama,fr,1973-06-21,4.5,a;Searching;the,Sinner: The Secret Diary of a Nymphomaniac
Thriller,en,2010-02-05,5.9,are;a;closed,Frozen
"Romance, Comedy",en,2020-11-19,8.6,adaption;written;Gabriel's,Gabriel's Inferno Part III
"Animation, Family, TV Movie",en,1964-12-06,7.3,"is;Hermey,;sleigh",Rudolph the Red-Nosed Reindeer
Horror,en,1963-03-28,7.5,"townsfolk;attacking;and,",The Birds
"Horror, Mystery, Thriller",en,2001-02-08,6.7,in;Abberline;is,From Hell
"Action, Drama",en,1983-08-31,4.3,constantly;the;over,Women's Prison Massacre
"Horror, Thriller",en,2018-10-11,7.0,an;underground;Company.,Suspiria
"Family, Fantasy, Science Fiction, Animation",en,1994-11-23,6.4,unknown;Tyler;accidents.,The Pagemaster
"Drama, Romance",fr,2022-03-09,0.0,of;meets;mother,Besties
"Comedy, Romance",en,2018-09-21,7.2,pieces;the;back,Nappily Ever After
"Action, Thriller",en,2018-05-18,5.7,a;him;against,Black Water
"Comedy, Drama, Fantasy",en,1999-10-29,7.4,controlling;enters;passion,Being John Malkovich
"Action, Adventure, Fantasy",zh,2018-02-16,5.4,who;about;the,The Monkey King 3
"Animation, Action, Comedy, Family",en,2011-02-25,6.6,order.;and;will,Megamind: The Button of Doom
"Action, Drama, Thriller",te,2021-12-16,7.7,he;two.;sandalwood,Pushpa: The Rise - Part 1
"Drama, Science Fiction",en,2011-05-26,7.2,relationship;collide;new,Melancholia
"Family, Animation",en,2004-03-09,6.7,"sprung,;preoccupied;and",Winnie the Pooh: Springtime with Roo
"Comedy, Romance",en,2021-06-23,5.6,stand-up;to;putting,Good on Paper
"Comedy, Horror, Fantasy",en,1995-12-22,6.0,he;fresh;blood.,Dracula: Dead and Loving It
"Family, Romance, Comedy",en,2020-11-19,7.0,before;to;new,The Princess Switch: Switched Again
"Horror, Mystery, Thriller, Drama",en,2008-08-15,6.2,evil;are;an,Mirrors
"Drama, Horror, Science Fiction, Thriller",en,2003-03-21,5.5,alien;innocent;the,Dreamcatcher
"Action, Adventure, Drama, History, Romance, War",en,1992-08-26,7.4,"America,;Hawkeye,;battle",The Last of the Mohicans
"Animation, Drama, Action",ja,2015-05-23,8.1,late;skills;the,New Initial D the Movie - Legend 2: Racer
"Crime, Drama, History",en,2015-04-17,6.3,FBI;Wanted;between,True Story
"Drama, Thriller",en,2019-07-18,5.5,is;stop.;anything,Secret Obsession
"Animation, Family",en,2019-12-05,6.6,generation;the;sharing,How to Train Your Dragon: Snoggletog Log
"Animation, Family, Action, Adventure, Drama, Fantasy",ja,2001-08-17,6.7,"haven;Nyarth,;army",Pokémon: Mewtwo Returns
Thriller,en,2022-01-07,6.1,skier;defense;secluded,See for Me
"Action, Comedy, Science Fiction, Animation",ja,2013-07-04,8.1,"mysterious;a;past,",Gintama the Movie: The Final Chapter - Be Forever Yorozuya
"Action, Adventure, Family, Fantasy",en,1981-06-12,6.9,"head,;including;his",Clash of the Titans
"Drama, Horror, Crime, Thriller",en,2018-10-04,7.2,life's;killer;towering,The House That Jack Built
"Action, Science Fiction, Thriller",en,2002-12-06,7.0,A;a;subduing,Equilibrium
Drama,es,2014-04-01,5.6,stoning;and;as,Saul: The Journey to Damascus
Horror,en,2009-10-16,6.9,wrong.;before.;group,Triangle
"Action, Drama, Thriller",en,1998-11-20,7.0,"criminal;videographer,;assassins.",Enemy of the State
"Comedy, Crime",en,1985-03-28,6.0,but;band;have,Police Academy 2: Their First Assignment
Action,en,2015-11-06,5.2,revamped;A;game,The Condemned 2
"Action, Drama, Science Fiction, Thriller",en,1995-03-10,6.5,airborne;by;House.,Outbreak
"Comedy, Drama, Romance",en,2000-04-27,7.1,a;when;up,Where the Heart Is
"Comedy, Crime",en,1963-12-18,6.9,who;he;Phantom,The Pink Panther
"Comedy, Action",en,2020-02-27,6.5,streams;himself;for,Guns Akimbo
"Drama, History",en,2017-01-19,7.0,Inspired;pushed;the,The Post
Drama,en,2016-08-26,6.3,trainer;his;Arcel,Hands of Stone
"Action, Animation, Science Fiction",ja,2014-06-28,6.8,"Scrasath.;vacation,;a",Ghost in the Shell Arise - Border 3: Ghost Tears
"Mystery, Thriller",en,2004-03-12,6.6,a;to;stalked,Secret Window
"Comedy, Music, Family",en,2003-10-03,7.1,he;begins;and,School of Rock
"Drama, Romance",fr,1980-11-19,5.4,France.;among;Teenage,Tender Cousins
"Science Fiction, Thriller, Drama, Romance, Mystery",es,2018-11-30,7.5,"deed;of;mother,",Mirage
"Drama, Romance",en,2019-02-25,7.2,"ill;help;live,",Our Friend
"Action, Horror, Science Fiction, Animation",ja,2012-06-02,7.1,"of;Fumito,;methods.",Blood-C: The Last Dark
"Animation, Comedy, Action, Family",en,2018-01-31,7.6,defeat;up;friends,Scooby-Doo! & Batman: The Brave and the Bold
"Thriller, Drama, History",en,2012-12-19,7.0,decade-long;terrorist;of,Zero Dark Thirty
"Action, Thriller",en,2020-07-16,6.4,impatiently;provoking;as,Unhinged
"Adventure, Fantasy, Animation, Action, Comedy, Thriller, Science Fiction, Family",en,2004-08-13,6.0,evil;the;to,Yu-Gi-Oh! The Movie
"Family, Adventure, Animation, Fantasy, Action, Science Fiction",ja,2005-07-16,6.9,the;see.;his,Pokémon: Lucario and the Mystery of Mew
"Animation, Comedy, Family, TV Movie, Music, Adventure, Science Fiction",en,2011-08-05,6.9,back;who;the,Phineas and Ferb: The Movie: Across the 2nd Dimension
"Romance, Comedy",en,1995-04-21,6.9,mistakenly;she;that,While You Were Sleeping
"Action, Drama",en,2019-06-19,7.0,(USA;end;two,In Full Bloom
"Science Fiction, Action, Animation",ja,2016-10-14,7.3,out;sphere;it's,Gantz:O
"Action, Crime, Thriller",en,2011-03-27,8.0,Affair;films;members,Kill Bill: The Whole Bloody Affair
"Horror, Science Fiction, Thriller",en,2016-07-06,4.6,ensuing;people;of,Cell
"Horror, Mystery, Science Fiction",ja,2015-08-01,5.0,forced;her;school...?,Corpse Party
Action,en,2016-04-22,6.3,who;more;bag,Bastille Day
"Comedy, Drama, Romance",es,1992-09-03,6.2,seduce;potential;floor.,Jamon Jamon
Comedy,en,2014-04-14,5.3,drug;easy!;heart,Behaving Badly
Documentary,fr,2022-03-09,0.0,line:;guest.;intends,La campagne de France
Drama,tr,2021-03-12,8.2,small;own;his,Paper Lives
"Action, Adventure, Horror",en,2018-01-19,5.5,of;unearths;remained,7 Guardians of the Tomb
"Horror, Thriller",en,2014-01-22,5.3,Frankenstein's;holds;when,"I, Frankenstein"
"Drama, Horror, Mystery",en,2017-09-13,7.0,at;tested;A,mother!
Drama,ko,2022-01-26,6.4,the;believes;their,Kingmaker
"Romance, Drama",ko,2015-11-19,6.6,to;gets;successful,Nice Sister-In-Law
"Drama, History, Thriller, Crime",en,2021-10-01,5.5,Adamson;Rose;trafficking.,Swallow
"Mystery, Thriller, Drama",en,1998-03-20,6.3,the;his;fighting,Wild Things
Drama,en,2016-10-21,7.4,and;chapters;find,Moonlight
Animation,en,2020-07-25,3.5,"themselves,;are;changing",Rick and Morty vs Genocider
Comedy,it,1995-08-30,5.4,to;but;It,P.O. Box Tinto Brass
"Action, Comedy, Romance",cn,1988-02-11,7.1,the;and;A,Dragons Forever
"Animation, Family",en,1998-02-16,6.2,and;the;be,Belle's Magical World
"Animation, Fantasy, Horror, Action",ja,2000-08-25,7.6,a;track;has,Vampire Hunter D: Bloodlust
"Adventure, Comedy, Fantasy",en,2002-04-13,7.3,America.;and;valuable,Interstate 60
"Fantasy, Horror",en,1997-07-18,5.9,where;in;herself,Snow White: A Tale of Terror
Drama,es,2007-02-01,8.4,and;that;witnessed,Scars 2
Comedy,en,1989-11-30,7.2,but;due;preparing,National Lampoon's Christmas Vacation
"Horror, Science Fiction, Action, Thriller",en,2018-02-04,5.6,and;scientists;on,The Cloverfield Paradox
"Adventure, Drama, Thriller",en,2010-11-12,7.1,Aron;an;The,127 Hours
"Comedy, Documentary",en,2007-12-18,6.1,episodes;Wee;finish,Jackass 2.5
"Comedy, Romance",en,2019-05-02,6.7,trusted;make;to,Long Shot
"Thriller, Science Fiction",en,1998-08-13,4.4,but;the;with,The Avengers
"Crime, Thriller, Romance, Drama",en,1993-11-10,7.8,and;despite;pledges,Carlito's Way
Horror,en,2007-06-22,6.7,"in,;1408;occurrences",1408
"Drama, History, Romance",fr,2019-06-17,8.2,"century,;is;wedding",Portrait of a Lady on Fire
"Horror, Thriller",en,2010-08-27,5.6,true;on;thought,The Last Exorcism
"Science Fiction, Thriller, Drama, Crime",en,2009-01-09,5.4,around;girlfriend;chamber,The Butterfly Effect 3: Revelations
"Horror, Comedy, Drama",en,2021-12-03,6.5,what;going;to,Silent Night
"Animation, Adventure, Comedy, Family, Fantasy, Music",en,2018-03-26,6.6,Prince;fairy;same,Charming
"Action, War",zh,2015-04-02,6.2,of;foreign;lord.,Wolf Warrior
"Animation, Family, Adventure, Action, Comedy",en,2016-06-21,6.9,League;Justice;overdue,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout
"Science Fiction, Mystery, Drama, Thriller, Horror",en,2015-05-28,6.0,there.;that;awaken,Circle
"Comedy, Fantasy",en,2021-09-17,6.5,in;up;resident,Lady of the Manor
"Comedy, Drama",es,2021-09-24,5.9,think;an;they,El Planeta
Comedy,en,1999-08-12,6.1,picture.;star;ragtag,Bowfinger
"Action, Animation, Science Fiction, TV Movie, War",ja,2016-11-26,4.8,"to;(Furutaka,;gets",KanColle Movie
"Horror, Fantasy, Thriller, Drama",en,2018-04-13,5.5,in;outside;in,Wildling
"Thriller, Horror",en,2012-07-28,6.1,party;for.;an,V/H/S
"Thriller, Crime, Drama, Mystery",en,2003-01-01,7.7,lives;when;childhood,Mystic River
Horror,en,2009-07-21,5.3,does;fix;pump,Messengers 2: The Scarecrow
"Adventure, Drama, Thriller",en,1993-01-15,6.9,alive;anything;rations,Alive
"Animation, Fantasy, Drama, Science Fiction",zh,2016-09-29,7.0,fantasy;follow;to,L.O.R.D: Legend of Ravaging Dynasties
"TV Movie, Family, Comedy, Fantasy",en,2015-06-26,6.8,characters;find;movie,Teen Beach 2
"Documentary, Music",en,2015-07-03,7.6,success;talented;A,Amy
"Romance, Drama",ja,2016-12-17,7.6,Takatoshi;They;her,Tomorrow I Will Date With Yesterday's You
"Romance, Adventure, Science Fiction, Drama",en,2017-01-26,7.1,Mars;young;to,The Space Between Us
"Action, Adventure, Science Fiction, Thriller",en,1996-08-09,5.9,day.;guilty;tapped,Escape from L.A.
"Science Fiction, Thriller, Mystery, Action, Adventure",en,2018-07-13,5.3,everything;to;chaos.,How It Ends
"Drama, Romance",fr,2022-03-09,0.0,the;at;loss,My Night
"Drama, Thriller, TV Movie",en,2018-06-12,4.9,meets;with;from,"My Teacher, My Obsession"
"Animation, Music, Family",en,2015-10-24,7.3,Shimmer;against;a,My Little Pony: Equestria Girls: Friendship Games
"Comedy, Drama",it,1992-02-21,4.4,fantasies.;Roman;on,All Ladies Do It
Comedy,en,1986-06-11,7.7,the;throughout;Bueller,Ferris Bueller's Day Off
"Action, Adventure, Comedy, Science Fiction",ja,2017-07-14,6.7,he;have;In,Gintama
"Fantasy, Comedy, Romance",en,2011-05-11,7.5,to;young;French,Midnight in Paris
Comedy,de,1969-01-18,6.6,directed;A;Hendel.,Graf Porno und seine Mädchen
"Science Fiction, Drama",en,2019-05-20,5.4,his;drama;to,After We Leave
"Comedy, Action",fr,2022-02-02,6.0,and;off;lead,Superwho?
"Family, Drama",en,2016-11-04,7.9,"when;his;addict,",A Street Cat Named Bob
"Family, Adventure, Comedy, Romance",en,2005-01-20,5.6,trip;playboy;the,Are We There Yet?
"Thriller, Action",fr,2019-02-20,7.6,as;things;in,The Wolf's Call
"Action, Horror, Science Fiction",en,2018-09-07,5.6,temporarily;the;its,Redcon-1
"Drama, Action, War",ru,2019-03-21,7.7,small;the;A,Balkan Line
"Thriller, Science Fiction",en,2014-10-09,5.8,ROC;an;a,Automata
"Fantasy, Family, Animation, Adventure",en,1977-06-22,6.7,"oneself,;girl;fallen",The Rescuers
"Comedy, Family, Adventure",en,1997-07-03,6.4,Mr.;of;watchman,Bean
"Comedy, Adventure, Family, Fantasy",en,2018-11-22,7.1,his;Kate;sleigh,The Christmas Chronicles
"Romance, Comedy, Drama",en,1953-08-26,7.9,takes;found;out,Roman Holiday
"War, Action",en,1961-04-27,7.4,soldiers.;assigned;enormous,The Guns of Navarone
"Drama, Horror",de,1979-01-17,7.4,"town,;Dracula;caught",Nosferatu the Vampyre
"Drama, Thriller",tl,2022-01-07,4.0,mistress;get;consequences.,Siklo
"Horror, Thriller",en,1995-09-29,5.2,"Dr.;druids;later,",Halloween: The Curse of Michael Myers
"Action, Crime, Mystery, Thriller",en,2009-09-09,5.5,harsh;first;U.S.,Whiteout
"Adventure, Fantasy, Mystery",en,2019-08-22,6.2,-;mysterious;closed,Abigail
"Action, Adventure, Fantasy",zh,1991-11-30,4.0,series;a;animated,Dragon Ball: The Magic Begins
"Action, Fantasy, Horror, Mystery",en,1999-11-24,6.0,by;the;Jericho,End of Days
"Drama, Science Fiction, Thriller",en,2006-08-17,4.9,the;with;consequences.,The Butterfly Effect 2
"Music, Documentary",es,2021-02-26,8.1,The;on;millions,Soy Luna: The Last Concert
"Crime, Action, Thriller",en,2015-05-21,5.6,"terrorist;on;York,",Survivor
"Horror, Action, Drama, Fantasy, War",en,2014-10-01,6.4,turns;into;enemies,Dracula Untold
"Comedy, Romance",en,2017-09-01,5.3,guy;is;in,The Layover
"Comedy, Romance",en,2020-02-13,7.1,In;friends.;of,Emma.
"Comedy, War",en,1940-10-15,8.4,persecution;barber;Hynkel's,The Great Dictator
Romance,ja,2018-10-05,5.4,Mizushima.;Due;and,You Are the Apple of My Eye
"Action, Adventure, Science Fiction",en,2022-11-09,0.0,(2018).;The;sequel,Black Panther: Wakanda Forever
"Comedy, Drama, Romance",en,2011-05-05,6.3,lifelong;at;and,Something Borrowed
"Horror, Thriller",en,1986-05-23,6.0,wants;be;effort,Poltergeist II: The Other Side
"Animation, Action, Thriller",ja,2013-12-07,6.8,"Third,;vs.;Third",Lupin the Third vs. Detective Conan: The Movie
"Action, Fantasy, Horror, Science Fiction",ja,2007-03-15,7.0,warrior;is;reclaim,Dororo
"Comedy, Horror",en,2014-09-19,5.4,to;forces;best,Tusk
"Comedy, Romance",en,2019-02-14,5.7,"into;Andrei;story,","Oh, Ramona!"
"Animation, Family, Fantasy, Comedy, Adventure, Mystery",en,2018-03-15,5.6,"investigate;detective,;Juliet,",Sherlock Gnomes
"Drama, Romance, Adventure",ko,2014-05-14,6.8,In;falls;colonel,Obsessed
"Crime, Action",en,2019-05-24,6.8,"and;furlough,;the",Avengement
"Action, Animation, Science Fiction, Fantasy",ja,2011-06-17,6.3,a;Attractors;Quon,Towa no Quon 1: The Ephemeral Petals
"Drama, Thriller",en,2016-11-11,5.4,widowed;New;existence,Shut In
"Comedy, Music, Romance",en,1952-04-09,8.2,film;transition;company,Singin' in the Rain
Documentary,en,2016-10-21,7.7,do;society;environment,Before the Flood
"Thriller, Mystery, Drama, Romance",en,2006-05-05,5.1,a;shipwrecked;on,Survival Island
Drama,en,1992-12-23,7.7,Colonel;money;the,Scent of a Woman
Documentary,en,2016-04-23,5.9,explores;its;own.,Ghostheads
"Comedy, Drama",en,2011-11-11,5.7,to;hometown;who's,Young Adult
"Adventure, Comedy, Fantasy",en,2018-02-16,6.8,war.;the;figure,Monster Hunt 2
